2023-10-28 21:10:20,249 - Child process 'my_process' with PID 2492 created.
2023-10-28 21:10:20,250 - Child process 'my_process' with PID 2475 running
2023-10-28 21:10:20,253 - Child process 'my_process' with PID 2492 encountered an error: [Errno 2] No such file or directory
2023-10-28 21:10:31,093 - Thread 'my_thread1' created successfully
2023-10-28 21:10:31,093 - Thread 'my_thread1' running
2023-10-28 21:10:37,782 - Thread 'my_thread2' created successfully
2023-10-28 21:10:37,782 - Thread 'my_thread2' running
2023-10-28 21:10:50,934 - Thread 'mn_thread' created successfully
2023-10-28 21:10:50,934 - Thread 'mn_thread' running
2023-10-28 21:10:56,882 - Thread 'my_thread' not found.
2023-10-28 21:11:05,479 - Thread 'my_thread1' terminated.
2023-10-28 21:11:20,013 - Processes created through your code:
2023-10-28 21:11:23,905 - Process with PID: 680, Parent PID: 1, Name: mDNSResponderHel, Status: running
2023-10-28 21:11:23,905 - Process with PID: 683, Parent PID: 1, Name: symptomsd, Status: running
2023-10-28 21:11:23,905 - Process with PID: 692, Parent PID: 1, Name: authd, Status: running
2023-10-28 21:11:23,905 - Process with PID: 698, Parent PID: 1, Name: socketfilterfw, Status: running
2023-10-28 21:11:23,905 - Process with PID: 732, Parent PID: 1, Name: TouchBarServer, Status: running
2023-10-28 21:11:23,906 - Process with PID: 741, Parent PID: 1, Name: distnoted, Status: running
2023-10-28 21:11:23,906 - Process with PID: 753, Parent PID: 1, Name: distnoted, Status: running
2023-10-28 21:11:23,906 - Process with PID: 763, Parent PID: 1, Name: distnoted, Status: running
2023-10-28 21:11:23,906 - Process with PID: 784, Parent PID: 1, Name: searchpartyd, Status: running
2023-10-28 21:11:23,906 - Process with PID: 785, Parent PID: 1, Name: PerfPowerService, Status: running
2023-10-28 21:11:23,906 - Process with PID: 787, Parent PID: 1, Name: diskmanagementd, Status: running
2023-10-28 21:11:23,906 - Process with PID: 796, Parent PID: 1, Name: com.apple.Driver, Status: running
2023-10-28 21:11:23,906 - Process with PID: 797, Parent PID: 1, Name: com.apple.AppleU, Status: running
2023-10-28 21:11:23,906 - Process with PID: 798, Parent PID: 1, Name: appleh13camerad, Status: running
2023-10-28 21:11:23,906 - Process with PID: 799, Parent PID: 1, Name: UVCAssistant, Status: running
2023-10-28 21:11:23,906 - Process with PID: 807, Parent PID: 1, Name: wifianalyticsd, Status: running
2023-10-28 21:11:23,907 - Process with PID: 858, Parent PID: 536, Name: systemstats, Status: running
2023-10-28 21:11:23,907 - Process with PID: 870, Parent PID: 1, Name: locationd, Status: running
2023-10-28 21:11:23,907 - Process with PID: 876, Parent PID: 1, Name: appleeventsd, Status: running
2023-10-28 21:11:23,907 - Process with PID: 887, Parent PID: 1, Name: distnoted, Status: running
2023-10-28 21:11:23,907 - Process with PID: 912, Parent PID: 1, Name: mds_stores, Status: running
2023-10-28 21:11:23,907 - Process with PID: 961, Parent PID: 1, Name: distnoted, Status: running
2023-10-28 21:11:23,907 - Process with PID: 986, Parent PID: 1, Name: kdc, Status: running
2023-10-28 21:11:23,907 - Process with PID: 1005, Parent PID: 1, Name: distnoted, Status: running
2023-10-28 21:11:23,907 - Process with PID: 1092, Parent PID: 1, Name: mdbulkimport, Status: running
